month,order_status,number_of_orders
January,canceled,37
January,delivered,7819
January,invoiced,27
January,processing,38
January,shipped,90
January,unavailable,58
February,approved,1
February,canceled,90
February,created,1
February,delivered,8208
February,invoiced,17
February,processing,38
February,shipped,78
February,unavailable,75
March,canceled,59
March,delivered,9549
March,invoiced,26
March,processing,32
March,shipped,178
March,unavailable,49
April,approved,1
April,canceled,33
April,delivered,9101
April,invoiced,28
April,processing,18
April,shipped,148
April,unavailable,14
May,canceled,53
May,delivered,10295
May,invoiced,40
May,processing,29
May,shipped,109
May,unavailable,47
June,canceled,34
June,delivered,9234
June,invoiced,14
June,processing,12
June,shipped,90
June,unavailable,28
July,canceled,69
July,delivered,10031
July,invoiced,20
July,processing,12
July,shipped,116
July,unavailable,70
August,canceled,111
August,delivered,10544
August,invoiced,43
August,processing,18
August,shipped,88
August,unavailable,39
September,canceled,37
September,delivered,4151
September,invoiced,17
September,processing,22
September,shipped,40
September,unavailable,38
October,canceled,54
October,delivered,4743
October,invoiced,34
October,processing,22
October,shipped,41
October,unavailable,65
November,canceled,37
November,created,2
November,delivered,7289
November,invoiced,35
November,processing,25
November,shipped,72
November,unavailable,84
December,canceled,11
December,created,2
December,delivered,5514
December,invoiced,13
December,processing,35
December,shipped,57
December,unavailable,42
