business_segment,avg_revenue
air_conditioning,0.0
baby,0.0
bags_backpacks,0.0
books,0.0
fashion_accessories,0.0
food_supplement,0.0
games_consoles,0.0
gifts,0.0
handcrafted,0.0
home_appliances,0.0
home_office_furniture,0.0
jewerly,0.0
music_instruments,0.0
religious,0.0
small_appliances,0.0
sports_leisure,0.0
watches,125.0
food_drink,384.62
bed_bath_table,1363.64
household_utilities,2295.77
car_accessories,2402.6
computers,3088.24
health_beauty,3172.04
party,4000.0
audio_video_electronics,4218.75
home_decor,6761.9
perfume,7500.0
stationery,7692.31
pet,10000.0
toys,12950.0
other,208666.67
phone_mobile,615384.62
construction_tools_house_garden,734710.23
